Epoch,Loss (Accumulated Per Epoch)
0,165.058566
1,134.268308
2,126.46471
3,119.677457
4,113.646002
5,108.335648
6,103.708079
7,99.68141
8,96.258291
9,93.335138
10,90.85244
11,88.729624
12,86.89437
13,85.309436
14,83.932551
15,82.738654
16,81.697464
17,80.799534
18,80.005606
19,79.304733
20,78.696471
21,78.146321
22,77.655367
23,77.227378
24,76.837696
25,76.494704
26,76.183742
27,75.899001
28,75.641958
29,75.407705
30,75.19115
31,74.994127
32,74.809208
33,74.64033
34,74.484448
35,74.342132
36,74.213116
37,74.076664
38,73.958617
39,73.841649
40,73.738297
41,73.638808
42,73.547359
43,73.459296
44,73.382144
45,73.30903
46,73.23727
47,73.173543
48,73.109926
49,73.049487
50,72.989942
51,72.934861
52,72.886376
53,72.831961
54,72.784416
55,72.741101
56,72.695649
57,72.647984
58,72.600032
59,72.543921
60,72.487094
61,72.425663
62,72.378164
63,72.328902
64,72.278631
65,72.225056
66,72.183216
67,72.136386
68,72.086836
69,72.048362
70,72.005043
71,71.958192
72,71.923114
73,71.88332
74,71.846228
75,71.806532
76,71.776619
77,71.744193
78,71.712341
79,71.68145
80,71.645297
81,71.624869
82,71.601295
83,71.580201
84,71.559927
85,71.534497
86,71.520317
87,71.50121
88,71.482314
89,71.463427
90,71.445465
91,71.427307
92,71.404578
93,71.393138
94,71.375261
95,71.352383
96,71.34115
97,71.323536
98,71.301495
99,71.290451
100,71.267695
101,71.255927
102,71.239885
103,71.223092
104,71.206271
105,71.190682
106,71.174637
107,71.158601
108,71.14187
109,71.126558
110,71.11024
111,71.096091
112,71.081218
113,71.066356
114,71.051841
115,71.037347
116,71.022182
117,71.008345
118,70.993923
119,70.979814
120,70.965155
121,70.950607
122,70.936018
123,70.92239
124,70.906539
125,70.892249
126,70.877456
127,70.8619
128,70.84753
129,70.833554
130,70.815212
131,70.7984
132,70.781629
133,70.761927
134,70.747372
135,70.729243
136,70.712061
137,70.692788
138,70.677413
139,70.659282
140,70.641383
141,70.620221
142,70.607038
143,70.585509
144,70.56652
145,70.549594
146,70.530655
147,70.515195
148,70.49791
149,70.476611
150,70.46165
151,70.440734
152,70.420069
153,70.40337
154,70.388894
155,70.368867
156,70.346038
157,70.33264
158,70.306575
159,70.287111
160,70.272978
161,70.24809
162,70.22712
163,70.211152
164,70.184787
165,70.162882
166,70.149255
167,70.123737
168,70.103448
169,70.084742
170,70.05306
171,70.039728
172,70.019781
173,69.994139
174,69.974454
175,69.95234
176,69.931838
177,69.909929
178,69.881795
179,69.865199
180,69.844969
181,69.807418
182,69.795495
183,69.772259
184,69.744879
185,69.71728
186,69.698172
187,69.677112
188,69.634774
189,69.613965
190,69.588598
191,69.551598
192,69.541121
193,69.506175
194,69.480778
195,69.459415
196,69.419186
197,69.395316
198,69.370862
199,69.350104
200,69.30636
201,69.282483
202,69.264201
203,69.219758
204,69.19393
205,69.178884
206,69.134617
207,69.104202
208,69.089629
209,69.045867
210,69.016811
211,68.98525
212,68.952311
213,68.914328
214,68.896004
215,68.857023
216,68.819609
217,68.800648
218,68.747743
219,68.703996
220,68.697541
221,68.660759
222,68.600624
223,68.573964
224,68.568746
225,68.513764
226,68.459239
227,68.426433
228,68.429881
229,68.346407
230,68.348908
231,68.269733
232,68.287176
233,68.200548
234,68.165486
235,68.167775
236,68.124498
237,68.028662
238,68.051491
239,67.972516
240,67.972933
241,67.895127
242,67.901433
243,67.807376
244,67.816144
245,67.728718
246,67.754312
247,67.65648
248,67.660056
249,67.5983
250,67.520282
251,67.537245
252,67.444168
253,67.447387
254,67.353293
255,67.364861
256,67.280602
257,67.292423
258,67.184104
259,67.202102
260,67.136725
261,67.05591
262,67.063534
263,66.986213
264,66.973704
265,66.882667
266,66.892916
267,66.790782
268,66.826918
269,66.760424
270,66.654105
271,66.701446
